county_state,year,population
"CLAIBORNE, TENNESSEE",2024,32940
"CLAIBORNE, TENNESSEE",2025,33229
"CLAY, TENNESSEE",2016,7654
"CLAY, TENNESSEE",2017,7663
"CLAY, TENNESSEE",2018,7677
"CLAY, TENNESSEE",2019,7615
"CLAY, TENNESSEE",2020,7588
"CLAY, TENNESSEE",2021,7586
"CLAY, TENNESSEE",2022,7621
"CLAY, TENNESSEE",2023,7666
"CLAY, TENNESSEE",2024,7810
"CLAY, TENNESSEE",2025,7821
"COCKE, TENNESSEE",2016,35234
"COCKE, TENNESSEE",2017,35528
"COCKE, TENNESSEE",2018,35858
"COCKE, TENNESSEE",2019,36004
"COCKE, TENNESSEE",2020,36043
"COCKE, TENNESSEE",2021,36374
"COCKE, TENNESSEE",2022,36804
"COCKE, TENNESSEE",2023,37359
"COCKE, TENNESSEE",2024,37736
"COCKE, TENNESSEE",2025,37889
"COFFEE, TENNESSEE",2016,54537
"COFFEE, TENNESSEE",2017,55016
"COFFEE, TENNESSEE",2018,55877
"COFFEE, TENNESSEE",2019,56520
"COFFEE, TENNESSEE",2020,58132
"COFFEE, TENNESSEE",2021,59002
"COFFEE, TENNESSEE",2022,59660
"COFFEE, TENNESSEE",2023,60562
"COFFEE, TENNESSEE",2024,61473
"COFFEE, TENNESSEE",2025,62419
"CROCKETT, TENNESSEE",2016,14448
"CROCKETT, TENNESSEE",2017,14436
"CROCKETT, TENNESSEE",2018,14296
"CROCKETT, TENNESSEE",2019,14230
"CROCKETT, TENNESSEE",2020,13907
"CROCKETT, TENNESSEE",2021,13983
"CROCKETT, TENNESSEE",2022,13873
"CROCKETT, TENNESSEE",2023,13967
"CROCKETT, TENNESSEE",2024,13963
"CROCKETT, TENNESSEE",2025,14006
"CUMBERLAND, TENNESSEE",2016,58580
"CUMBERLAND, TENNESSEE",2017,59023
"CUMBERLAND, TENNESSEE",2018,59738
"CUMBERLAND, TENNESSEE",2019,60520
"CUMBERLAND, TENNESSEE",2020,61381
"CUMBERLAND, TENNESSEE",2021,62407
"CUMBERLAND, TENNESSEE",2022,63524
"CUMBERLAND, TENNESSEE",2023,64817
"CUMBERLAND, TENNESSEE",2024,65630
"CUMBERLAND, TENNESSEE",2025,66300
"DAVIDSON, TENNESSEE",2016,685829
"DAVIDSON, TENNESSEE",2017,687159
"DAVIDSON, TENNESSEE",2018,690516
"DAVIDSON, TENNESSEE",2019,694144
"DAVIDSON, TENNESSEE",2020,716153
"DAVIDSON, TENNESSEE",2021,701450
"DAVIDSON, TENNESSEE",2022,712156
"DAVIDSON, TENNESSEE",2023,720989
"DAVIDSON, TENNESSEE",2024,736623
"DAVIDSON, TENNESSEE",2025,745904
"DECATUR, TENNESSEE",2016,11735
"DECATUR, TENNESSEE",2017,11732
"DECATUR, TENNESSEE",2018,11699
"DECATUR, TENNESSEE",2019,11663
"DECATUR, TENNESSEE",2020,11429
"DECATUR, TENNESSEE",2021,11392
"DECATUR, TENNESSEE",2022,11527
"DECATUR, TENNESSEE",2023,11685
"DECATUR, TENNESSEE",2024,11738
"DECATUR, TENNESSEE",2025,11820
"DEKALB, TENNESSEE",2016,19444
"DEKALB, TENNESSEE",2017,19876
"DEKALB, TENNESSEE",2018,20133
"DEKALB, TENNESSEE",2019,20490
"DEKALB, TENNESSEE",2020,20186
"DEKALB, TENNESSEE",2021,20503
"DEKALB, TENNESSEE",2022,20987
"DEKALB, TENNESSEE",2023,21301
"DEKALB, TENNESSEE",2024,21684
"DEKALB, TENNESSEE",2025,21873
"DICKSON, TENNESSEE",2016,51900
"DICKSON, TENNESSEE",2017,52774
"DICKSON, TENNESSEE",2018,53446
"DICKSON, TENNESSEE",2019,53948
"DICKSON, TENNESSEE",2020,54452
