table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
"Annual Estimates of the Resident Population for Counties in Tennessee: April 1, 2020 to July 1, 2025",,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,
,,2020,2021,2022,2023,2024,2025
".Rhea County, Tennessee","33,235","33,302","33,508","33,999","34,264","34,716","34,844"
".Roane County, Tennessee","53,544","53,666","54,165","55,279","56,218","56,769","57,395"
".Robertson County, Tennessee","72,809","72,958","74,047","75,402","76,948","78,830","80,175"
".Rutherford County, Tennessee","341,482","343,285","351,202","362,373","370,483","380,086","386,352"
".Scott County, Tennessee","21,852","21,880","21,904","22,038","22,253","22,553","22,671"
".Sequatchie County, Tennessee","15,826","15,848","16,447","16,917","17,168","17,609","17,861"
".Sevier County, Tennessee","98,677","98,848","99,625","99,362","100,410","101,224","101,342"
".Shelby County, Tennessee","930,012","929,720","923,315","919,092","915,501","915,438","910,226"
".Smith County, Tennessee","19,906","19,963","20,175","20,471","20,538","20,785","20,981"
".Stewart County, Tennessee","13,656","13,708","13,820","14,011","14,269","14,373","14,439"
".Sullivan County, Tennessee","158,146","158,238","159,250","160,899","161,953","162,709","163,759"
".Sumner County, Tennessee","196,289","197,416","200,578","204,002","208,501","212,181","215,538"
".Tipton County, Tennessee","60,976","61,050","61,083","61,606","61,957","62,306","62,287"
".Trousdale County, Tennessee","11,606","11,646","11,621","12,089","12,327","12,189","12,623"
".Unicoi County, Tennessee","17,911","17,873","17,617","17,607","17,823","17,925","17,856"
".Union County, Tennessee","19,807","19,847","20,020","20,483","20,760","21,136","21,450"
".Van Buren County, Tennessee","6,168","6,174","6,297","6,457","6,576","6,683","6,874"
".Warren County, Tennessee","40,953","41,057","41,478","41,978","42,615","43,544","43,717"
".Washington County, Tennessee","132,999","133,211","133,461","136,273","138,454","139,574","141,199"
".Wayne County, Tennessee","16,229","16,220","16,331","16,254","16,050","16,034","16,416"
".Weakley County, Tennessee","32,908","32,908","32,905","33,052","33,167","33,216","33,261"
".White County, Tennessee","27,351","27,441","27,559","28,016","28,715","29,227","29,612"
".Williamson County, Tennessee","247,790","249,614","256,192","261,335","264,898","268,486","272,061"
".Wilson County, Tennessee","147,745","148,654","152,095","158,979","164,275","170,340","175,033"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0466). ",,,,,,,
"The estimates are based on the 2020 Modified Age and Race Census (MARC) file and include changes from Count Question Resolution, the Post-Census Group Quarters Review, and geographic revisions. The estimates add births to, subtract deaths from, and add net migration to the April 1, 2020 estimates base. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2025 population estimates series are as of January 1, 2025.",,,,,,,
Suggested Citation:,,,,,,,
"Annual Estimates of the Resident Population for Counties in Tennessee: April 1, 2020 to July 1, 2025 (CO-EST2025-POP-47)",,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,
Release Date: March 2026,,,,,,,
