BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
08-JUL-16,17:55:00,08-JUL-16,17:55:00,105872,635287,Thunderstorm Wind,"LOUDON, TENNESSEE",EST-5,0,0,0,0,0,0,35.65,-84.18,35.65,-84.18,False,False,0.2985967408173823
08-JUL-16,18:10:00,08-JUL-16,18:10:00,105872,635296,Thunderstorm Wind,"SEVIER, TENNESSEE",EST-5,0,0,0,0,0,0,35.87,-83.77,35.87,-83.77,False,False,0.2985967408173823
08-JUL-16,19:10:00,08-JUL-16,19:10:00,105872,635301,Thunderstorm Wind,"BLEDSOE, TENNESSEE",CST-6,0,0,0,0,0,0,35.56,-85.2,35.56,-85.2,False,False,0.2985967408173823
08-JUL-16,18:40:00,08-JUL-16,18:40:00,105872,635299,Thunderstorm Wind,"MONROE, TENNESSEE",EST-5,0,0,0,0,0,0,35.38,-84.3,35.38,-84.3,False,False,0.2985967408173823
14-JUL-16,15:40:00,14-JUL-16,15:40:00,105948,635802,Hail,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,35.91,-84.13,35.91,-84.13,False,False,0.2985967408173823
14-JUL-16,15:40:00,14-JUL-16,15:40:00,105948,635803,Thunderstorm Wind,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,35.95,-84.01,35.95,-84.01,False,False,0.2985967408173823
14-JUL-16,15:45:00,14-JUL-16,15:45:00,105948,635804,Thunderstorm Wind,"MONROE, TENNESSEE",EST-5,0,0,0,0,0,0,35.37,-84.3,35.37,-84.3,False,False,0.2985967408173823
14-JUL-16,15:56:00,14-JUL-16,15:56:00,105948,635805,Thunderstorm Wind,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,35.99,-83.93,35.99,-83.93,False,False,0.2985967408173823
14-JUL-16,16:04:00,14-JUL-16,16:04:00,105948,635807,Thunderstorm Wind,"MCMINN, TENNESSEE",EST-5,0,0,0,0,0,0,35.5,-84.65,35.5,-84.65,False,False,0.2985967408173823
14-JUL-16,17:54:00,14-JUL-16,17:54:00,105948,635808,Thunderstorm Wind,"GREENE, TENNESSEE",EST-5,0,0,0,0,0,0,36.17,-82.82,36.17,-82.82,False,False,0.2985967408173823
11-APR-16,12:00:00,11-APR-16,16:00:00,104777,627395,Strong Wind,"DAVIDSON, TENNESSEE",CST-6,0,0,0,0,3000,0,,,,,False,False,0.8290222452146921
27-APR-16,15:33:00,27-APR-16,15:33:00,104778,627396,Thunderstorm Wind,"HUMPHREYS, TENNESSEE",CST-6,0,0,0,0,3000,0,36.08,-87.8,36.08,-87.8,False,False,0.8290222452146921
27-APR-16,15:43:00,27-APR-16,15:43:00,104778,627397,Thunderstorm Wind,"HUMPHREYS, TENNESSEE",CST-6,0,0,0,0,5000,0,36.12,-87.63,36.12,-87.63,False,False,0.8617434040351785
27-APR-16,16:09:00,27-APR-16,16:09:00,104778,627398,Thunderstorm Wind,"MONTGOMERY, TENNESSEE",CST-6,0,0,0,0,1000,0,36.3761,-87.4489,36.3761,-87.4489,False,False,0.6811627004655976
12-JUL-16,16:10:00,12-JUL-16,16:10:00,105914,635570,Thunderstorm Wind,"COCKE, TENNESSEE",EST-5,0,0,0,0,0,0,35.96,-83.19,35.96,-83.19,False,False,0.2985967408173823
13-JUL-16,20:32:00,13-JUL-16,20:32:00,105915,635575,Thunderstorm Wind,"MCMINN, TENNESSEE",EST-5,0,0,0,0,0,0,35.45,-84.6,35.45,-84.6,False,False,0.2985967408173823
