county_state,year,population
"CHEATHAM COUNTY, TENNESSEE",2021,41455
"CHEATHAM COUNTY, TENNESSEE",2022,41723
"CHEATHAM COUNTY, TENNESSEE",2023,42223
"CHEATHAM COUNTY, TENNESSEE",2024,42616
"CHEATHAM COUNTY, TENNESSEE",2025,42778
"CHESTER COUNTY, TENNESSEE",2016,17130
"CHESTER COUNTY, TENNESSEE",2017,17154
"CHESTER COUNTY, TENNESSEE",2018,17245
"CHESTER COUNTY, TENNESSEE",2019,17297
"CHESTER COUNTY, TENNESSEE",2020,17379
"CHESTER COUNTY, TENNESSEE",2021,17481
"CHESTER COUNTY, TENNESSEE",2022,17577
"CHESTER COUNTY, TENNESSEE",2023,17712
"CHESTER COUNTY, TENNESSEE",2024,17841
"CHESTER COUNTY, TENNESSEE",2025,17994
"CLAIBORNE COUNTY, TENNESSEE",2016,31634
"CLAIBORNE COUNTY, TENNESSEE",2017,31661
"CLAIBORNE COUNTY, TENNESSEE",2018,31850
"CLAIBORNE COUNTY, TENNESSEE",2019,31959
"CLAIBORNE COUNTY, TENNESSEE",2020,32075
"CLAIBORNE COUNTY, TENNESSEE",2021,32047
"CLAIBORNE COUNTY, TENNESSEE",2022,32371
"CLAIBORNE COUNTY, TENNESSEE",2023,32667
"CLAIBORNE COUNTY, TENNESSEE",2024,32940
"CLAIBORNE COUNTY, TENNESSEE",2025,33229
"CLAY COUNTY, TENNESSEE",2016,7654
"CLAY COUNTY, TENNESSEE",2017,7663
"CLAY COUNTY, TENNESSEE",2018,7677
"CLAY COUNTY, TENNESSEE",2019,7615
"CLAY COUNTY, TENNESSEE",2020,7588
"CLAY COUNTY, TENNESSEE",2021,7586
"CLAY COUNTY, TENNESSEE",2022,7621
"CLAY COUNTY, TENNESSEE",2023,7666
"CLAY COUNTY, TENNESSEE",2024,7810
"CLAY COUNTY, TENNESSEE",2025,7821
"COCKE COUNTY, TENNESSEE",2016,35234
"COCKE COUNTY, TENNESSEE",2017,35528
"COCKE COUNTY, TENNESSEE",2018,35858
"COCKE COUNTY, TENNESSEE",2019,36004
"COCKE COUNTY, TENNESSEE",2020,36043
"COCKE COUNTY, TENNESSEE",2021,36374
"COCKE COUNTY, TENNESSEE",2022,36804
"COCKE COUNTY, TENNESSEE",2023,37359
"COCKE COUNTY, TENNESSEE",2024,37736
"COCKE COUNTY, TENNESSEE",2025,37889
"COFFEE COUNTY, TENNESSEE",2016,54537
"COFFEE COUNTY, TENNESSEE",2017,55016
"COFFEE COUNTY, TENNESSEE",2018,55877
