county_name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Robertson County, Tennessee",69393,70328,71179,71813,72958,74047,75402,76948,78830,80175
"Rutherford County, Tennessee",307415,316531,324647,332285,343285,351202,362373,370483,380086,386352
"Scott County, Tennessee",21890,21964,22028,22068,21880,21904,22038,22253,22553,22671
"Sequatchie County, Tennessee",14754,14767,14891,15026,15848,16447,16917,17168,17609,17861
"Sevier County, Tennessee",96470,97307,97895,98250,98848,99625,99362,100410,101224,101342
"Shelby County, Tennessee",936021,935251,936365,937166,929720,923315,919092,915501,915438,910226
"Smith County, Tennessee",19526,19732,19979,20157,19963,20175,20471,20538,20785,20981
"Stewart County, Tennessee",13190,13422,13619,13715,13708,13820,14011,14269,14373,14439
"Sullivan County, Tennessee",156182,156924,157599,158348,158238,159250,160899,161953,162709,163759
"Sumner County, Tennessee",179332,183756,187490,191283,197416,200578,204002,208501,212181,215538
"Tipton County, Tennessee",61223,61305,61576,61599,61050,61083,61606,61957,62306,62287
"Trousdale County, Tennessee",9955,10831,11033,11284,11646,11621,12089,12327,12189,12623
"Unicoi County, Tennessee",17737,17796,17822,17883,17873,17617,17607,17823,17925,17856
"Union County, Tennessee",19219,19399,19689,19972,19847,20020,20483,20760,21136,21450
"Van Buren County, Tennessee",5721,5747,5763,5872,6174,6297,6457,6576,6683,6874
"Warren County, Tennessee",40428,40717,40826,41277,41057,41478,41978,42615,43544,43717
"Washington County, Tennessee",127247,127603,128661,129375,133211,133461,136273,138454,139574,141199
"Wayne County, Tennessee",16747,16641,16635,16673,16220,16331,16254,16050,16034,16416
"Weakley County, Tennessee",33610,33325,33413,33328,32908,32905,33052,33167,33216,33261
"White County, Tennessee",26463,26764,27086,27345,27441,27559,28016,28715,29227,29612
"Williamson County, Tennessee",218903,226048,231978,238412,249614,256192,261335,264898,268486,272061
"Wilson County, Tennessee",132494,136691,140954,144657,148654,152095,158979,164275,170340,175033
